314,ワカメの知識,,「ワカメの遊走子が日本からの商船の,バラストタンクに注入されたバラスト水に混入した状態でニュージーランドやオーストラリア、ヨーロッパ諸国の沿岸域に運ばれ、そこで水と共に放出されて増殖しており、外来生物として問題になっている。
315,へらへら,,はヘラヘラしている。,
316,テクノリバイブ敵,味方一人を蘇生する。
消費MP:24,はテクノリバイブを唱えた！,
317,攻撃ｗ１,敵単体にダメージを与える。
(会心対応),の攻撃！,
318,攻撃ｗ２,敵単体にダメージを与える。
(会心対応),の攻撃！,
319,攻撃ｗ３,敵単体にダメージを与える。
(会心対応),の攻撃！,
320,,,,
321,投げキッス,,の怒涛の投げキッス！,
322,敵リブロキール,,はリブロキールを唱えた！,
323,,,,
324,大丈夫だよ！^^,,「大丈夫だよ！^^,
325,泣かないで！><,,「泣かないで！><,
326,うるせえ豚,敵単体にダメージを与える。
(会心対応),「ウルセェッ豚がよぉ！！,
327,メタルボンバー,,はメタルボンバーを放った！,
328,メタルバースト,,はメタルバーストを放った！,
329,キング攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
330,王の意地,,の王の意地！,
331,,,,
332,攻撃VENKI,敵単体にダメージを与える。
(会心対応),の攻撃！,
333,攻撃VENKI,敵単体にダメージを与える。
(会心対応),の攻撃！,
334,不具合,,のエンジンは不調を起こした！,
335,便器ボンファイアー,強烈な業火を敵全体に浴びせる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,のボンファイアー！,
336,ケーキボンバー,敵単体にダメージを与える。
(会心対応),はケーキボンバーを放った！,
337,クレオパトラ２,,はクラズキラを唱えた！,
338,カエシタラー,,はカエシタラーを唱えた！,
339,ドマイド,聖なる力で自身のHPを350回復する,「まいどまいどまいどああああ！！,
340,ボンファイアー,強烈な業火を敵全体に浴びせる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,のボンファイアー！,
341,糞,,「クソっこの鉄屑が！！動け！！,
342,MP回復,,のMPが回復した！,
343,APPチャージ,APPを5チャージする,のAPPチャージ！,
344,二人ランダム,,の呪術が襲う！,
345,攻撃jungle,敵単体にダメージを与える。
(会心対応),の攻撃！,
346,二人ランダム,,の呪術が襲う！,
347,アンガーエッジ,,はアンガーエッジを放った！,
348,無い,,の恨みと悲しみが押し寄せる！,
349,毒全体攻撃,敵単体にダメージを与える。
(会心対応),は猛毒を撒き散らした！,
350,嗤う,,は不敵に嗤っている・・・,
351,二人ランダム,,の呪術が襲う！,
352,攻撃jungleランダム,敵単体にダメージを与える。
(会心対応),の攻撃！,
353,攻撃jungle単発,敵単体にダメージを与える。
(会心対応),の攻撃！,
354,二人ランダム,,の呪術が襲う！,
355,斧攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
356,会心斧攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
357,ポメティ攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
358,チャクラム攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
359,ざくろカウンター,敵単体にダメージを与える。
(会心対応),の攻撃！,
360,ナエール,,はナエールを唱えた！,
361,クソナエール,,はクソナエールを唱えた！,
362,モローイ,敵一体の防御力を下げる。,はモローイを唱えた！,
363,モロモロイ,敵全体の防御力を下げる。,はモロモロイを唱えた！,
364,チンターラ,敵全体の敏捷性を下げる。,はチンターラを唱えた！,
365,カチカチマザインゴ敵,味方一人の防御力を大きく強化する。 消費MP:3
,はﾌﾟﾛﾃｸﾄ･ﾒﾃﾞｨｼﾝを使った！,
366,ガトリング全体,,「身も心もドチクショピヨリ,
367,攻撃銃器,敵単体にダメージを与える。
(会心対応),の攻撃！,
368,攻撃槍,敵単体にダメージを与える。
(会心対応),の攻撃！,
369,メンタルケア,味方全員の下がったステータスを回復する。,はメンタルケアを唱えた！,
370,プリーズキュア,味方全員のインフル、催眠を回復する。,はプリーズキュアを唱えた！,
371,フサ攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
372,マリ攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
373,マリ攻撃会心,敵単体にダメージを与える。
(会心対応),の攻撃！,
374,teki一家心中,敵単体にダメージを与える。
(会心対応),はバクシ・ダンサーを放った！,
375,敵弩布羅明剛,,は弩布羅明剛を放った！,
376,敵秘剣・鍵穴,斬りつけた相手の防御を下げることがある,は秘剣・鍵穴を放った！,
377,はストップヒールを放った！,こうして俺ら死んでいくんやな,はストップヒールを放った！,
378,呼無葬連鎖,,は呼無葬連鎖を放った！,
379,★★バフキエール,,はバフキエールを放った！,
380,連撃,,達は二人揃って連撃を放った！,
381,シコマイド,聖なる呪文で自身のHPを全回復する
\C[23]消費MP:10,,「まいどまいどまいどあああああああああ！！
382,不鎖珍宝一本突,,は不鎖珍宝一本突を放った！,
383,フサ攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
384,呼無葬連鎖,,は呼無葬連鎖を放った！,
385,バフキエール,,はバフキエールを放った！,
386,teki一家心中,敵単体にダメージを与える。
(会心対応),はバクシ・ダンサーを放った！,
387,マリ攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
388,レクイエスファンタ,カードが敵を切り刻む。会心の一撃が出やすい。
【物:\I[6142]】【ｼｬｯﾌﾙ発動(80%)】\C[21]【ｸｰﾙﾀｲﾑ:1】,はレクイエスファンタを放った！,
389,バクシ・ダンサー,敵全体に魔力爆破で攻撃。スタン中の相手に威力2倍
【魔:\I[6120]】\C[21]【ｸｰﾙﾀｲﾑ:1】,はバクシ・ダンサーを放った！,
390,ストップヒール,敵一体の回復能力を消し去る。,はストップヒールを放った！,
391,,,,
392,EX追撃,麻雀牌型の爆弾を投げまくり、敵全体を灰にする。
使用後、味方全体のHP,MPを80%回復する。,「喰らえダメ押しィ！！,
393,マイドニック・ノヴァ,魔力を凝縮し敵一体に4連撃レーザーを放つ。
【魔:\I[6125]】【ｼｬｯﾌﾙ発動(30%)】,はマイドニック・ノヴァを放った！,
394,APP前期絵,,,
395,エンデ・レクイエム,全てのMPを解放し、残存MPに応じたダメージを与える。
【MP全消費】,は全ての魔力を解放した！,
396,ラストプリペイド,APPをフルチャージする。
\C[21]【ｸｰﾙﾀｲﾑ:6】,のラストプリペイド！,
397,EXUS,麻雀牌型の爆弾を投げまくり、敵全体を灰にする。
使用後、味方全体のHP,MPを80%回復する。,「さらばだ貴様らぁぁーーー！！！,
398,Wild dance Marikinithm,\C[10]-ﾜｲﾙﾄﾞ･ﾀﾞﾝｽ･ﾏﾘｷﾆｽﾞﾑ-
麻雀牌型の爆弾で戦場を吹き飛ばす。使用後全体回復効果,「さらばだ貴様らぁぁーーー！！！,
399,ファンタ,,「ババアファンタ持って来い！！,
400,バフキエール単発,,はバフキエールを放った！,
401,エンデ・レクイエム,全てのMPを解放し、残存MPに応じたダメージを与える。
【MP全消費】,は全ての魔力を解放した！,
402,攻撃morikaze ,,の攻撃！,
403,攻撃morikaze ,,の攻撃！,
404,ノ,,,
405,エムドレイン,,はエムドレインを唱えた！,
406,攻撃ヘルハウンド,敵単体にダメージを与える。
(会心対応),の攻撃！,
407,うるせえーーー！！,,「うるさいよおおおおおおおおお！！？？,
408,太陽反撃,,「にえぇぇぇえええええい！！！！,
409,本落下,,から本が落ちてきた！,
410,APPチャージ,APPを10チャージする。
\C[23]消費MP:5,のAPPチャージ！,
411,エンデ・レクイエム,全てのMPを解放し、残存MPに応じたダメージを与える。
【MP全消費】,は全ての魔力を解放した！,
412,太陽返信,,は元に戻ってしまった！,
413,太陽返信,,は高速で新たな定理を模索している！,
414,,,,
415,バクーシ,,はバクーシを唱えた！,
416,,,,
417,詠唱・炎1,,の魔法攻撃！,
418,詠唱・炎2,,の魔法攻撃！,
419,詠唱・炎3,,の魔法攻撃！,
420,アッチーナ・Lv1,,はアッチーナ・Lv1を唱えた！,
421,アッチーナ・Lv2,,はアッチーナ・Lv2を唱えた！,
422,アッチーナ・Lv3,,はアッチーナ・Lv3を唱えた！,
423,詠唱・氷1,,の魔法攻撃！,
424,詠唱・氷2,,の魔法攻撃！,
425,詠唱・氷3,,の魔法攻撃！,
426,ツメテーナ・Lv1,,はツメテーナ・Lv1を唱えた！,
427,ツメテーナ・Lv2,,はツメテーナ・Lv2を唱えた！,
428,ツメテーナ・Lv3,,はツメテーナ・Lv3を唱えた！,
429,詠唱・雷1,,の魔法攻撃！,
430,詠唱・雷2,,の魔法攻撃！,
431,詠唱・雷3,,の魔法攻撃！,
432,シビレーナ・Lv1,,はシビレーナ・Lv1を唱えた！,
433,シビレーナ・Lv2,,はシビレーナ・Lv2を唱えた！,
434,シビレーナ・Lv3,,はシビレーナ・Lv3を唱えた！,
435,詠唱・水1,,の魔法攻撃！,
436,詠唱・水2,,の魔法攻撃！,
437,詠唱・水3,,の魔法攻撃！,
438,オボレーナ・Lv1,,はオボレーナ・Lv1を唱えた！,
439,オボレーナ・Lv2,,はオボレーナ・Lv2を唱えた！,
440,オボレーナ・Lv3,,はオボレーナ・Lv3を唱えた！,
441,詠唱・風1,,の魔法攻撃！,
442,詠唱・風2,,の魔法攻撃！,
443,詠唱・風3,,の魔法攻撃！,
444,フカレーナ・Lv1,,はフカレーナ・Lv1を唱えた！,
445,フカレーナ・Lv2,,はフカレーナ・Lv2を唱えた！,
446,フカレーナ・Lv3,,はフカレーナ・Lv3を唱えた！,
447,,,,
448,逃げる,敵キャラの行動用。使用者が戦闘から離脱する。,は逃げてしまった。,
449,変身・ワンパコ,,は姿を解き放った！,
450,は正体を現した！,,は正体を現した！,
451,変身・ワンパコ地下,,は姿を解き放った！,
452,詠唱・炎2べん,,の魔法攻撃！,
453,アッチーナ・Lv2,,はアッチーナ・Lv2を唱えた！,
454,詠唱・炎2べん,,の魔法攻撃！,
455,アッチーナ・Lv2,,はアッチーナ・Lv2を唱えた！,
456,詠唱・高橋,,の魔法攻撃！,
457,無い,,の恨みと悲しみが押し寄せる！,
458,攻撃カード,敵単体にダメージを与える。
(会心対応),の攻撃！,
459,攻撃電撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
460,黒歴史,,を全国ネット配信した！,
461,ストップヒール敵,敵一体の回復能力を消し去る。
\C[23]消費MP:6,はストップヒールを放った！,
462,黒歴史,,を全国ネット配信した！,
463,,,,
464,ツメテーナ,氷の魔法で敵全体を攻撃。,の魔力を解き放った！,
465,ツメテーナ・Lv1,,でツメテーナ・Lv1を唱えた！,
466,ツメテーナ・Lv2,,でツメテーナ・Lv2を唱えた！,
467,ツメテーナ・Lv3,,でツメテーナ・Lv3を唱えた！,
468,ツメテーナ・Lv4,,でツメテーナ・Lv4を唱えた！,
469,アッチーナ,炎の魔法で敵全体を攻撃。,の魔力を解き放った！,
470,アッチーナ・Lv1,,でアッチーナ・Lv1を唱えた！,
471,アッチーナ・Lv2,,でアッチーナ・Lv2を唱えた！,
472,アッチーナ・Lv3,,でアッチーナ・Lv3を唱えた！,
473,アッチーナ・Lv4,,でアッチーナ・Lv4を唱えた！,
474,シビレーナ,雷の魔法で敵全体を攻撃。,の魔力を解き放った！,
475,シビレーナ・Lv1,,でシビレーナ・Lv1を唱えた！,
476,シビレーナ・Lv2,,でシビレーナ・Lv2を唱えた！,
477,シビレーナ・Lv3,,でシビレーナ・Lv3を唱えた！,
478,シビレーナ・Lv4,,でシビレーナ・Lv4を唱えた！,
479,,,,
480,,,,
481,,,,
482,マイドニックレーザー単発,,のマイドニックレーザー！,
483,攻撃ヘルハウンド,敵単体にダメージを与える。
(会心対応),の攻撃！,
484,マイドニックレーザー,,のマイドニックレーザー！,
485,破壊コード[TAKAKO],,は破壊コード[TAKAKO]を放った！,
486,詠唱・雷3,,の魔法攻撃！,
487,シビレーナ・Lv3,,はシビレーナ・Lv3を唱えた！,
488,破壊コード[TAKAKO],,は破壊コード[TAKAKO]を放った！,
489,攻撃ヘルハウンド,敵単体にダメージを与える。
(会心対応),の攻撃！,
490,,,,
491,詠唱・氷4,,の魔法攻撃！,
492,ツメテーナ・Lv4,,はツメテーナ・Lv4を唱えた！,
493,,,,
494,攻撃morikaze ,,の攻撃！,
495,攻撃morikaze ,,の攻撃！,
496,凍結,,の絶対零度！,
497,ダイバクーシ,,はダイバクーシを唱えた！,
498,強化,,キリミはヘルハウンドにデータを送信した！,
499,,,,
500,ブラスインパクト,,のブラスインパクト！,
501,ブラスインパクト,,のブラスインパクト！,
502,攻撃morikaze ,,の攻撃！,
503,マイドニックレーザー,,のマイドニックレーザー！,
504,攻撃morikaze ,,の攻撃！,
505,詠唱・氷3,,の魔法攻撃！,
506,ツメテーナ・Lv4,,はツメテーナ・Lv4を唱えた！,
507,,,,
508,パワーダウン,,は反動で動けなかった！,
